data trim:
time,signal
65,103.382
65.01,99.4747
65.02,73.762
65.03,77.8
65.04,158.576
65.05,309.952
65.06,242.232
65.07,160.955
65.08,144.82
65.09,285.453
65.1,406.443
65.11,288.174
65.12,568.486
65.13,557.195
65.14,82.8219
65.15,203.138
65.16,126.593
65.17,279.444
65.18,357.353
65.19,181.254
65.2,98.1908
65.21,37.0272
65.22,135.126
65.23,183.101
65.24,187.514
65.25,201.717
65.26,306.044
65.27,149.601
65.28,32.4316
65.29,213.12
65.3,230.308
65.31,143.973
65.32,178.686
65.33,134.82
65.34,103.839
65.35,84.5563
65.36,127.154
65.37,130.753
65.38,104.545
65.39,54.3358
65.4,80.2641
65.41,104.889
65.42,115.639
65.43,152.246
65.44,130.151
65.45,94.3149
65.46,346.055
65.47,290.132
65.48,242.958
65.49,215.799
65.5,245.564
65.51,144.701
65.52,139.846
65.53,52.2608
65.54,39.607
65.55,65.667
65.56,110.532
65.57,122.933
65.58,115.333
65.59,89.1385
65.6,127.822
65.61,117.019
65.62,427.278
65.63,405.631
65.64,134.561
65.65,72.9388
65.66,193.474
65.67,225.735
65.68,248.83
65.69,263.351
65.7,154.635
65.71,83.7756
65.72,115.521
65.73,112.634
65.74,114.437
65.75,85.0371
65.76,91.6233
65.77,102.383
65.78,150.44
65.79,179.711
65.8,237.547
65.81,143.673
65.82,97.3165
65.83,128.373
65.84,511.584
65.85,275.448
65.86,301.078
65.87,268.656
65.88,160.038
65.89,75.292
65.9,126.788
65.91,49.8398
65.92,117.608
65.93,63.1868
65.94,77.9118
65.95,119.307
65.96,158.381
65.97,362.83
65.98,247.286
65.99,46.7779
66,171.413
66.01,207.936
66.02,178.774
66.03,191.057
66.04,195.506
66.05,141.817
66.06,103.03
66.07,99.3298
66.08,82.3314
66.09,35.2335
66.1,22.7448
66.11,96.4907
66.12,201.637
66.13,286.351
66.14,181.029
66.15,102.821
66.16,217.716
66.17,983.112
66.18,395.091
66.19,644.331
66.2,103.538
66.21,345.396
66.22,129.239
66.23,44.1812
66.24,12.759
66.25,47.5909
66.26,71.2406
66.27,82.1707
66.28,81.2794
66.29,80.7087
66.3,122.151
66.31,330.056
66.32,299.73
66.33,128.102
66.34,163.794
66.35,270.958
66.36,200.573
66.37,201.21
66.38,225.643
66.39,218.96
66.4,195.804
66.41,112.902
66.42,102.25
66.43,129.619
66.44,99.962
66.45,103.268
66.46,137.111
66.47,225.458
66.48,210.314
66.49,230.507
66.5,155.261
66.51,304.028
66.52,576.252
66.53,364.101
66.54,685.842
66.55,391.625
66.56,247.944
66.57,157.91
66.58,241.839
66.59,241.873
66.6,179.777
66.61,98.1177
66.62,96.864
66.63,88.431
66.64,131.346
66.65,139.404
66.66,191.971
66.67,549.127
66.68,339.798
66.69,115.241
66.7,216.974
66.71,341.304
66.72,282.374
66.73,180.365
66.74,224.714
66.75,181.61
66.76,88.7741
66.77,126.992
66.78,164.004
66.79,106.319
66.8,53.9314
66.81,93.641
66.82,159.164
66.83,212.859
66.84,320.477
66.85,186.276
66.86,122.53
66.87,249.138
66.88,647.383
66.89,291.187
66.9,637.024
66.91,274.538
66.92,314.886
66.93,248.61
66.94,92.4251
66.95,117.969
66.96,113.961
66.97,82.8814
66.98,61.9737
66.99,85.8855
67,187.899
67.01,198.866
67.02,318.853
67.03,366.105
67.04,178.401
67.05,215.604
67.06,310.672
67.07,230.832
67.08,201.229
67.09,204.245
67.1,131.093
67.11,71.2643
67.12,141.764
67.13,162.714
67.14,111.426
